Date,Open,High,Low,Close,Adj Close,Volume
2011-09-29,74.250000,74.389999,71.000000,72.489998,50.106750,3619300
2011-09-30,71.690002,73.400002,71.529999,72.639999,50.210445,3346500
2011-10-03,72.580002,73.290001,71.110001,71.160004,49.187416,2724100
2011-10-04,70.449997,72.760002,70.370003,72.699997,50.251900,2300000
2011-10-05,73.099998,73.769997,71.970001,72.489998,50.106750,2974300
2011-10-06,72.269997,73.730003,72.110001,73.129997,50.549122,2150800
2011-10-07,73.599998,74.800003,73.080002,74.000000,51.150497,2385800
2011-10-10,75.239998,75.809998,74.510002,75.750000,52.360134,1543000
2011-10-11,75.459999,76.599998,75.459999,76.320000,52.754139,1597200
2011-10-12,76.629997,76.919998,75.959999,76.129997,52.622818,1437000
2011-10-13,75.900002,76.589996,75.279999,76.410004,52.816349,1138000
2011-10-14,77.010002,77.099998,75.730003,75.989998,52.526054,1745000
2011-10-17,75.750000,76.449997,74.559998,74.720001,51.648170,2477000
2011-10-18,74.800003,76.419998,74.239998,75.980003,52.519112,1959500
2011-10-19,75.900002,76.680000,75.209999,75.470001,52.166584,1226700
2011-10-20,75.750000,76.050003,74.809998,75.699997,52.325573,1368600
2011-10-21,76.410004,77.400002,75.639999,77.400002,53.500664,2122300
2011-10-24,77.389999,78.860001,76.570000,78.730003,54.419983,2207100
2011-10-25,78.660004,79.900002,78.050003,78.889999,54.530579,3274900
2011-10-26,78.940002,78.940002,75.639999,76.349998,52.774868,4405800
2011-10-27,78.019997,78.300003,75.220001,75.650002,52.291016,3157700
2011-10-28,75.720001,76.690002,75.059998,75.430000,52.138947,2244700
2011-10-31,75.279999,77.000000,75.089996,75.900002,52.463814,3272200
2011-11-01,74.559998,75.059998,73.480003,73.989998,51.143589,2709200
2011-11-02,74.730003,75.290001,74.330002,74.519997,51.509937,1968600
2011-11-03,75.160004,76.209999,74.599998,76.089996,52.595158,1411900
2011-11-04,75.529999,76.519997,74.739998,76.519997,52.892368,2933000
2011-11-07,76.430000,78.419998,75.959999,78.260002,54.095108,2541900
2011-11-08,78.419998,78.870003,77.540001,78.389999,54.184975,2209200
2011-11-09,77.019997,77.529999,76.559998,76.949997,53.189598,2773000
2011-11-10,77.300003,77.400002,75.769997,76.129997,52.622818,2608300
2011-11-11,76.940002,77.809998,76.779999,77.419998,53.514488,1728900
2011-11-14,77.330002,77.949997,77.230003,77.349998,53.466103,1497800
2011-11-15,77.120003,78.139999,77.010002,77.849998,53.811710,1405800
2011-11-16,77.099998,77.320000,75.769997,75.930000,52.484562,2368200
2011-11-17,75.750000,75.980003,74.389999,75.160004,51.952328,2895000
2011-11-18,75.599998,75.720001,74.940002,75.099998,51.910828,6630400
2011-11-21,74.160004,74.889999,72.370003,74.489998,51.489182,8533400
2011-11-22,74.510002,74.940002,73.570000,74.470001,51.475372,2297300
2011-11-23,73.760002,74.570000,73.550003,73.949997,51.115917,2479700
2011-11-25,74.019997,76.230003,74.000000,75.389999,52.111305,2001900
2011-11-28,76.809998,78.000000,76.000000,78.000000,53.915405,5886500
2011-11-29,77.290001,77.290001,76.349998,76.510002,53.572292,2644800
2011-11-30,78.029999,78.860001,77.730003,78.150002,54.720615,2998500
2011-12-01,78.139999,79.489998,78.110001,78.980003,55.301811,1896800
2011-12-02,79.550003,79.800003,77.230003,77.820000,54.489567,2421700
2011-12-05,78.559998,78.660004,77.599998,78.110001,54.692616,2524900
2011-12-06,77.800003,78.489998,77.620003,77.910004,54.552563,1498300
2011-12-07,77.940002,78.050003,77.370003,77.570000,54.314499,2092300
2011-12-08,77.470001,77.650002,76.419998,76.519997,53.579281,1797200
2011-12-09,77.050003,77.699997,77.019997,77.419998,54.209480,1239700
2011-12-12,77.440002,77.470001,76.400002,76.889999,53.838371,1450200
2011-12-13,77.379997,77.769997,76.459999,76.730003,53.726345,1642200
2011-12-14,76.720001,76.870003,76.019997,76.290001,53.418266,1439800
2011-12-15,77.070000,77.519997,76.760002,76.919998,53.859367,1972300
2011-12-16,77.620003,77.879997,76.320000,77.099998,53.985413,4215600
2011-12-19,77.279999,77.690002,76.599998,76.820000,53.789356,1393200
2011-12-20,77.940002,78.870003,77.830002,78.529999,54.986691,1749900
2011-12-21,78.449997,79.690002,78.019997,79.629997,55.756908,1820700
2011-12-22,79.820000,81.029999,79.629997,80.809998,56.583149,2793300
2011-12-23,81.000000,81.459999,80.669998,81.410004,57.003281,1927500
2011-12-27,81.330002,81.660004,80.940002,81.320000,56.940266,1483200
2011-12-28,81.680000,81.779999,80.849998,80.940002,56.674183,840400
2011-12-29,80.959999,81.739998,80.879997,81.519997,57.080276,1123700
2011-12-30,81.650002,81.860001,80.860001,80.900002,56.646175,1474700
2012-01-03,82.120003,82.989998,81.769997,82.019997,57.430408,2273600
2012-01-04,80.949997,81.449997,80.370003,80.910004,56.653179,2242700
2012-01-05,80.660004,80.680000,79.050003,80.070000,56.065006,2616100
2012-01-06,80.410004,80.410004,79.650002,79.980003,56.002003,4274300
2012-01-09,80.349998,80.349998,79.760002,80.040001,56.044014,1861500
2012-01-10,80.629997,81.199997,80.360001,80.620003,56.450127,1846700
2012-01-11,80.489998,81.129997,80.489998,80.779999,56.562149,1245900
2012-01-12,81.120003,81.769997,80.760002,81.690002,57.199337,1822300
2012-01-13,81.160004,81.529999,80.800003,81.519997,57.080276,1475600
2012-01-17,82.050003,82.099998,81.349998,81.639999,57.164303,1953700
2012-01-18,81.589996,82.279999,81.339996,82.279999,57.612450,1155900
2012-01-19,82.250000,83.709999,81.849998,83.709999,58.613750,1959400
2012-01-20,83.150002,83.440002,82.540001,82.779999,57.962540,2461700
2012-01-23,82.830002,82.860001,81.900002,82.540001,57.794483,1716700
2012-01-24,82.550003,82.809998,82.120003,82.239998,57.584442,1139000
2012-01-25,82.040001,82.269997,81.250000,81.730003,57.227341,2421500
2012-01-26,82.470001,82.949997,81.290001,82.470001,57.745491,2733700
2012-01-27,82.000000,82.550003,81.660004,82.019997,57.430408,1952500
2012-01-30,81.320000,82.129997,81.290001,82.010002,57.423393,3109900
2012-01-31,82.199997,82.400002,81.699997,82.320000,57.640472,2878600
2012-02-01,82.540001,83.720001,82.260002,83.519997,58.480682,2114100
2012-02-02,83.559998,83.699997,82.900002,83.169998,58.235622,1298800
2012-02-03,83.410004,84.730003,83.250000,84.589996,59.229900,3366800
2012-02-06,84.379997,85.400002,84.339996,85.250000,59.692051,2028300
2012-02-07,85.000000,86.639999,85.000000,86.629997,60.658318,2871300
